id,name,lat,lon
restaurant_81737,"Popeyes 336 Leontyne Price Blvd. Laurel, Mississippi 39440 - USA",31.687699,-89.136219
restaurant_84004,"Popeyes 5557 N Henry Blvd Stockbridge, Georgia 30281 - USA",33.552537,-84.258955
restaurant_86463,"Popeyes 2990 Anvil Block Road Ellenwood, Georgia 30294 - USA",33.634305,-84.291706
restaurant_81847,"Popeyes 1030 Saraland Blvd S Saraland, Alabama 36571 - USA",30.796886,-88.07158
restaurant_90594,"Popeyes 1301 Stanley Way Saraland, AL, Alabama 36571 - USA",30.802963,-88.107419
restaurant_84929,"Popeyes 908 Old Industrial Boulevard Mcdonough, Georgia 30253 - USA",33.4295,-84.17928
restaurant_239746,"Popeyes 9490 Alabama Road (GA-92) Woodstock, Georgia 30188 - USA",34.08534,-84.53119
restaurant_84943,"Popeyes 683 Hwy 53 East SE Calhoun, Georgia 30701 - USA",34.474077,-84.924053
restaurant_239255,"Popeyes 514 HWY 35 S Carthage, Mississippi 39051 - USA",32.730589,-89.534719
restaurant_82078,"Popeyes 350 E Nine Mile Rd Pensacola, Florida 32514 - USA",30.533327,-87.258554
restaurant_83216,"Popeyes 4555 Roswell Rd Atlanta, Georgia 30342 - USA",33.87953,-84.379355
restaurant_83896,"Popeyes 1270 Highway 35 S Forest, Mississippi 39074 - USA",32.34124,-89.482583
restaurant_240065,"Popeyes 1243 Main St Chipley, Florida 32428 - USA",30.765299,-85.54064
restaurant_242127,"Popeyes 1145 lamar Blvd E Americus, Georgia 31709 - USA",32.071115,-84.217793
restaurant_241303,"Popeyes Mill Lane - Hwy 181 Daphne, Alabama 36526 - USA",30.672757,-87.852598
restaurant_240339,"Popeyes 2850 W 9 Mile Rd Pensacola, Florida 32534 - USA",30.534967,-87.326538
restaurant_83774,"Popeyes 2578 Candler Rd Decatur, Georgia 30032 - USA",33.714609,-84.272405
restaurant_81996,"Popeyes 3506 Memorial Dr Decatur, Georgia 30032 - USA",33.754116,-84.269668
restaurant_81658,"Popeyes 2767 Clairmont Rd NE Atlanta, Georgia 30329 - USA",33.837898,-84.311597
restaurant_235012,"Popeyes 6401 North 9th Ave Pensacola, Florida 32504 - USA",30.490245,-87.19582
restaurant_239759,"Popeyes 3000 St Stephens Rd Mobile, Alabama 36612 - USA",30.746324,-88.111481
restaurant_234689,"Popeyes 1432 Huntsville Hwy Fayetteville, Tennessee 37334 - USA",35.128037,-86.565565
restaurant_82520,"Popeyes (Military Post Access Required) Bldg 1757 Eglin Afb, Florida 32542 - USA",30.466051,-86.528479
restaurant_84814,"Popeyes 354 Highway 12 E Kosciusko, Mississippi 39090 - USA",33.066481,-89.583688
restaurant_83577,"Popeyes 2665 Wesley Chapel Rd Decatur, Georgia 30034 - USA",33.709695,-84.218431
restaurant_81699,"Popeyes 750 Government St Mobile, Alabama 36602 - USA",30.687271,-88.051598
restaurant_86532,"Popeyes 7681 Moffett Road Semmes, Alabama 36575 - USA",30.75918,-88.223048
restaurant_84954,"Popeyes 3896 Lavista Rd Tucker, Georgia 30084 - USA",33.84404,-84.25818
restaurant_85453,"Popeyes 2825 Springhill Avenue Mobile, Alabama 36607 - USA",30.697971,-88.10795
restaurant_238005,"Popeyes 5064 Memorial Drive Stone Mountain, Georgia 30083 - USA",33.79489,-84.2269
restaurant_86651,"Popeyes 4511 Saufley Field Rd Pensacola, Florida 32526 - USA",30.460697,-87.302342
restaurant_237856,"Popeyes 5220 Buford Highway Doraville, Georgia 30340 - USA",33.89563,-84.28347
restaurant_85455,"Popeyes 1118 North 2nd Street Booneville, Mississippi 38829 - USA",34.67781,-88.56002
